iter	Logloss
0	0.6799547257
1	0.66933307
2	0.6601866629
3	0.6527663073
4	0.6458320309
5	0.6404293405
6	0.6358365792
7	0.6319294141
8	0.6282329847
9	0.6251876866
10	0.6222973569
11	0.619837012
12	0.6177343304
13	0.615811931
14	0.6138367122
15	0.6122441488
16	0.6108066357
17	0.609129565
18	0.6078887081
19	0.607030455
20	0.6058892714
21	0.6048003794
22	0.6038535946
23	0.602930261
24	0.6020922322
25	0.6009903107
26	0.6001994672
27	0.5995595589
28	0.598866301
29	0.5980936999
30	0.5974702273
31	0.5969751292
32	0.59642863
33	0.5959040687
34	0.5954564817
35	0.5950680733
36	0.5944848415
37	0.5936719056
38	0.5929754123
39	0.5925008118
40	0.5919374303
41	0.5915984306
42	0.5909693713
43	0.590562343
44	0.5901831638
45	0.5897929852
46	0.5894047568
47	0.5890575348
48	0.5886694194
49	0.5883164876
