iter	Logloss
0	0.6829199774
1	0.6744587321
2	0.6674980019
3	0.6613972175
4	0.6565092538
5	0.6523719529
6	0.6489270471
7	0.6460604605
8	0.6436184284
9	0.6414454942
10	0.6395945473
11	0.6379424866
12	0.6365252766
13	0.6353853156
14	0.634240775
15	0.6333380387
16	0.6325603111
17	0.6318345421
18	0.6311597301
19	0.6305361025
20	0.6299449793
21	0.6294816509
22	0.6289489252
23	0.6285282829
24	0.627984699
25	0.6275512973
26	0.6272683984
27	0.626866553
28	0.626539097
29	0.62617949
30	0.6259066585
31	0.6255821263
32	0.6254344392
33	0.6251998518
34	0.6249486416
35	0.6246816678
36	0.6244131251
37	0.6241882582
38	0.6240036892
39	0.6237847125
40	0.6236110348
41	0.6233453247
42	0.6231096952
43	0.6228933133
44	0.6227680854
45	0.6225654561
46	0.6224680783
47	0.6222816097
48	0.6221639675
49	0.6219164146
